sale_id,customer_id,employee_id,menu_item_id,time_id,table_id,reservation_id,payment_id,quantity,total_price
194,318,8,25,2024-11-07,13,53,771,4,54.69
195,180,5,8,2024-11-01,7,61,284,2,106.09
196,307,4,22,2024-09-10,5,866,299,5,33.50
197,73,3,20,2024-07-26,14,NULL,427,4,263.27
198,134,9,16,2024-12-22,6,NULL,771,3,70.77
199,308,3,7,2024-05-30,7,NULL,226,3,135.12
200,172,10,17,2024-01-07,7,73,158,3,24.10
201,418,6,13,2024-05-12,9,406,214,5,109.81
202,42,7,28,2024-08-15,6,470,946,2,214.10
203,433,9,19,2024-07-20,14,NULL,681,4,131.45
204,313,4,27,2024-06-03,7,NULL,935,1,105.41
205,360,7,3,2024-07-02,4,705,473,2,92.96
206,254,4,6,2024-11-22,14,NULL,661,4,91.56
207,425,9,28,2024-12-13,15,109,531,2,14.64
208,52,8,17,2024-05-21,5,256,946,5,267.82
209,472,9,6,2024-07-06,1,475,877,5,63.13
210,8,4,27,2024-04-22,13,171,815,3,22.98
211,252,2,10,2024-01-29,7,727,585,4,159.04
212,495,3,4,2024-12-30,9,NULL,890,4,75.53
213,225,4,19,2024-12-09,13,979,29,2,52.50
214,397,6,16,2024-10-20,8,674,291,3,18.98
215,351,2,25,2024-06-28,1,369,759,4,68.98
216,257,2,5,2024-04-28,3,NULL,183,1,226.30
217,329,9,8,2024-08-26,9,NULL,287,1,61.22
218,78,8,11,2024-06-14,4,NULL,919,3,63.87
219,483,9,15,2024-10-31,11,NULL,411,2,122.86
220,483,6,27,2024-09-17,14,792,410,4,47.29
221,454,6,30,2024-05-06,12,143,694,1,32.81
222,6,7,5,2024-10-28,11,NULL,566,1,37.19
223,71,7,27,2024-06-04,8,239,781,1,68.93
224,88,8,1,2024-12-20,12,711,517,3,40.56
225,431,8,30,2024-09-25,12,380,331,3,68.33
226,53,5,22,2024-05-31,14,204,509,5,59.38
227,18,6,13,2024-08-21,14,89,783,4,148.21
228,414,7,22,2024-09-23,7,928,476,3,163.20
229,111,2,7,2024-07-25,3,82,72,1,44.09
230,418,1,24,2024-10-21,10,NULL,914,2,73.85
231,453,5,14,2024-12-14,7,687,888,2,80.08
232,102,1,26,2024-01-05,8,450,108,1,109.67
233,12,4,23,2024-08-21,15,NULL,345,2,109.66
234,418,1,27,2024-03-01,3,685,72,2,59.84
235,20,5,2,2024-12-31,13,795,842,5,105.30
236,431,8,29,2024-08-25,6,NULL,580,1,177.82
237,201,5,4,2024-02-29,8,NULL,280,3,255.45
238,499,2,20,2024-11-15,7,864,66,4,59.96
239,451,7,19,2024-02-17,12,90,999,4,180.99
240,436,6,28,2024-02-01,10,354,556,4,154.44
241,331,9,7,2024-07-07,15,427,347,3,61.98
242,437,3,22,2024-10-09,11,134,902,1,235.25
243,431,7,25,2024-01-03,10,226,104,5,248.55
244,29,5,1,2024-10-30,1,NULL,828,4,60.10
245,182,5,3,2024-03-07,10,764,254,5,46.85
246,134,2,26,2024-12-02,1,288,661,3,61.41
247,497,8,1,2024-09-07,6,NULL,848,5,88.37
248,134,4,1,2024-12-09,11,865,581,2,45.14
249,16,9,11,2024-02-18,9,783,397,4,54.23
250,72,7,26,2024-04-20,15,NULL,324,1,144.46
251,454,3,20,2024-05-25,1,271,88,4,147.37
252,488,4,18,2024-01-22,8,267,264,3,134.36
253,374,5,1,2024-10-20,14,970,429,2,196.64
254,464,5,21,2024-11-17,6,245,389,2,193.19
255,481,7,14,2024-04-07,15,433,951,3,102.11
256,126,2,2,2024-10-18,13,27,44,1,100.13
257,196,7,10,2024-06-09,5,652,954,5,63.30
258,265,8,4,2024-04-30,5,975,122,4,15.83
259,9,4,24,2024-10-29,12,575,743,5,121.93
260,431,6,29,2024-03-19,4,941,116,4,135.57
261,180,10,26,2024-04-23,15,191,850,4,46.47
262,58,3,22,2024-12-11,9,442,113,2,140.90
263,470,3,9,2024-09-27,13,772,653,5,44.30
264,29,1,1,2024-01-07,1,NULL,754,5,103.28
265,85,4,13,2024-11-10,2,NULL,224,3,95.65
266,88,9,28,2024-12-15,15,655,882,3,101.85
267,34,7,2,2024-04-15,5,270,446,3,128.25
268,170,2,20,2024-10-26,3,370,726,3,79.59
269,324,5,13,2024-09-27,6,NULL,549,3,248.37
270,21,4,23,2024-07-29,10,950,983,1,95.13
271,149,5,8,2024-12-18,2,141,288,1,15.97
272,290,8,2,2024-12-05,8,NULL,504,1,99.64
273,251,8,14,2024-12-01,4,830,276,5,107.32
274,108,9,16,2024-02-27,3,738,312,2,221.88
275,80,1,29,2024-06-18,8,776,736,2,130.49
276,437,3,19,2024-05-07,14,302,331,4,126.52
277,76,4,6,2024-11-15,13,819,53,5,49.42
278,203,10,21,2024-07-14,9,698,629,1,95.57
279,261,5,15,2024-03-08,8,NULL,689,5,45.62
280,118,8,5,2024-05-26,9,737,599,4,21.56
281,406,4,11,2024-09-14,7,370,416,5,35.11
282,350,2,27,2024-10-22,6,627,445,2,117.65
283,22,8,15,2024-04-03,13,309,472,3,128.38
284,58,2,12,2024-06-05,1,NULL,176,2,27.56
285,7,8,16,2024-05-27,8,863,502,5,38.96
286,146,4,20,2024-05-27,1,NULL,310,5,212.29
287,223,5,22,2024-05-12,10,853,783,2,26.32
288,31,2,11,2024-05-14,13,768,681,1,138.53
289,254,7,17,2024-11-04,10,727,103,2,115.69
290,485,5,5,2024-06-17,14,784,634,5,44.47
291,15,6,23,2024-02-14,5,901,16,2,229.88
292,218,3,27,2024-08-27,10,680,405,5,119.31
293,288,3,20,2024-06-22,6,433,604,4,176.95
294,241,2,3,2024-02-02,3,NULL,31,5,45.10
295,482,6,3,2024-08-29,1,674,918,3,37.67
296,210,9,6,2024-03-23,9,608,210,2,152.33
297,395,4,13,2024-12-28,11,880,584,2,73.69
298,427,3,14,2024-09-07,1,677,902,3,196.28
299,452,6,30,2024-04-03,6,188,766,2,13.90
300,425,1,24,2024-09-15,3,NULL,613,3,255.08
301,486,1,5,2024-10-03,5,301,777,5,171.92
302,88,10,1,2024-05-31,15,474,309,1,38.85
303,45,4,19,2024-12-14,14,734,590,4,159.54
304,3,3,13,2024-03-16,12,327,613,1,135.91
305,249,6,8,2024-07-20,1,633,509,4,120.76
306,410,4,7,2024-01-22,10,530,353,1,136.65
307,118,6,6,2024-02-23,4,335,902,3,136.15
308,118,6,7,2024-04-17,13,216,25,3,20.04
309,249,3,23,2024-12-15,9,NULL,902,4,22.98
310,177,8,17,2024-08-02,5,357,865,2,114.82
311,434,7,15,2024-08-13,9,897,68,4,13.62
312,42,8,8,2024-02-27,1,317,538,4,8.67
313,281,4,30,2024-12-06,11,194,16,3,105.93
314,13,2,19,2024-08-19,6,NULL,931,2,73.93
315,388,9,30,2024-04-12,8,483,650,4,37.10
316,38,9,30,2024-05-21,15,NULL,817,5,193.87
317,244,8,6,2024-09-12,15,612,968,1,32.66
318,263,10,28,2024-12-03,13,590,685,4,16.38
319,81,4,1,2024-03-09,14,NULL,709,5,115.94
320,367,8,19,2024-10-13,2,NULL,787,5,106.15
321,44,10,22,2024-09-01,3,NULL,119,3,160.97
322,210,7,7,2024-12-24,4,78,269,1,127.06
323,389,7,1,2024-02-10,8,946,494,4,115.77
324,161,3,2,2024-08-31,3,NULL,595,3,187.46
325,278,10,30,2024-03-09,15,988,444,2,261.56
326,494,1,8,2024-01-28,10,373,653,1,130.60
327,385,6,20,2024-07-17,11,NULL,532,5,200.27
328,268,9,26,2024-08-09,7,872,24,3,106.63
329,11,2,16,2024-03-13,8,NULL,318,2,46.20
330,399,9,22,2024-03-08,11,265,53,3,41.86
331,467,2,4,2024-01-06,12,24,174,4,139.55
332,74,1,21,2024-05-09,11,383,401,5,32.00
333,270,5,21,2024-01-20,4,NULL,665,4,181.71
334,191,7,29,2024-11-14,8,441,198,4,165.89
335,43,5,2,2024-10-22,14,404,298,2,117.75
336,304,2,5,2024-02-07,2,807,359,2,221.52
337,355,2,12,2024-08-02,12,778,183,3,22.79
338,59,5,1,2024-09-14,7,35,970,4,180.66
339,270,4,1,2024-02-23,10,NULL,199,3,245.63
340,490,2,20,2024-12-16,12,167,497,5,53.41
341,390,3,27,2024-08-29,11,839,82,5,49.04
342,288,6,27,2024-11-04,9,916,599,2,81.62
343,26,9,29,2024-05-06,13,380,352,4,12.62
344,170,9,7,2024-06-21,12,635,22,2,106.95
345,113,5,17,2024-05-22,5,168,563,2,96.59
346,194,8,18,2024-08-12,6,NULL,606,2,102.54
347,222,6,20,2024-06-07,4,NULL,649,4,15.44
348,68,3,22,2024-11-08,3,581,280,4,53.53
349,378,2,13,2024-09-11,4,NULL,251,2,94.62
350,412,3,1,2024-03-02,13,152,224,4,74.55
351,125,6,29,2024-01-28,9,340,875,2,47.04
352,351,7,3,2024-07-16,7,154,320,1,41.03
353,411,6,4,2024-12-22,9,NULL,808,2,35.24
354,266,9,25,2024-06-05,11,809,513,1,25.63
355,177,7,10,2024-06-29,9,848,328,1,60.13
356,287,3,12,2024-04-11,4,654,481,3,130.20
357,136,9,7,2024-09-13,13,660,219,1,50.28
358,122,7,14,2024-05-02,6,344,708,3,75.92
359,176,3,1,2024-07-03,7,746,921,2,17.54
360,72,9,2,2024-07-18,9,779,966,3,66.31
361,4,1,3,2024-04-28,6,NULL,793,5,122.65
362,310,2,4,2024-01-21,14,877,444,3,70.02
363,207,4,14,2024-04-11,1,65,666,1,193.52
364,409,2,14,2024-09-09,2,61,871,1,66.85
365,311,2,21,2024-02-13,8,832,307,1,37.72
366,253,8,4,2024-05-17,9,313,801,1,153.21
367,151,3,13,2024-04-24,5,811,434,4,97.88
368,248,3,28,2024-09-16,13,NULL,292,4,31.42
369,222,6,15,2024-09-28,4,333,619,1,142.02
370,14,9,2,2024-09-22,8,325,511,3,23.27
371,174,5,9,2024-01-20,6,NULL,977,2,212.72
372,259,6,5,2024-03-13,8,NULL,845,4,35.71
373,37,9,26,2024-10-18,7,NULL,810,3,48.74
374,38,7,28,2024-10-08,1,NULL,453,3,43.86
375,293,7,12,2024-01-13,1,NULL,857,2,45.86
376,374,9,2,2024-08-25,2,646,449,2,14.27
377,241,4,15,2024-03-20,11,439,128,2,15.80
378,480,5,9,2024-01-21,8,541,128,1,121.38
379,164,2,25,2024-07-31,8,749,837,5,13.61
380,373,6,19,2024-05-02,13,658,564,5,32.25
381,142,9,14,2024-09-07,1,145,921,1,47.80
382,223,4,19,2024-12-10,13,233,123,5,31.18
383,461,7,18,2024-11-26,12,375,466,2,107.63
384,272,3,24,2024-12-31,11,190,595,3,82.63
385,15,4,15,2024-07-11,3,173,509,1,175.43
386,429,5,27,2024-12-01,15,286,332,5,23.60
387,180,8,20,2024-12-25,15,NULL,956,5,94.47
388,341,7,13,2024-01-21,15,NULL,117,1,82.53
389,162,3,3,2024-10-10,10,NULL,302,5,6.17
390,367,2,22,2024-02-03,4,489,270,5,70.17
391,5,10,23,2024-11-14,2,NULL,316,4,26.73
392,400,7,27,2024-06-04,8,342,228,1,49.22
393,377,6,11,2024-02-29,12,683,202,5,14.88
394,471,4,3,2024-05-02,6,NULL,452,3,10.33
395,482,7,11,2024-10-05,12,811,158,2,62.53
396,300,5,17,2024-04-12,12,205,677,4,182.87
397,192,7,29,2024-12-01,11,NULL,954,2,119.03
398,299,4,3,2024-05-05,7,338,310,3,42.33
399,199,7,26,2024-05-18,6,NULL,553,3,58.06
400,270,8,2,2024-01-08,15,NULL,102,1,41.63
401,228,5,2,2024-10-28,15,631,258,2,75.40
402,258,1,29,2024-06-19,8,NULL,355,5,152.43
403,247,1,24,2024-09-25,6,431,685,1,141.13
404,173,9,4,2024-01-28,1,NULL,787,5,164.04
405,246,10,10,2024-09-30,12,482,756,2,120.76
406,242,7,22,2024-09-12,5,839,493,5,52.87
407,183,6,20,2024-07-31,15,619,776,1,222.38
408,11,5,9,2024-12-23,1,527,620,3,42.26
409,291,5,10,2024-05-15,14,889,519,5,37.79
410,11,2,18,2024-07-27,1,935,793,1,76.41
411,325,6,20,2024-09-04,7,610,483,3,114.34
412,311,3,17,2024-12-09,1,295,665,3,61.57
413,484,7,16,2024-07-12,2,NULL,267,3,12.91
414,303,10,3,2024-07-01,4,613,77,3,147.37
415,308,7,9,2024-07-23,14,NULL,10,1,190.29
416,45,3,1,2024-05-13,12,804,202,3,24.34
417,269,3,22,2024-10-26,14,45,734,3,114.05
418,166,5,2,2024-12-28,13,317,106,3,34.11
419,55,1,25,2024-01-14,11,977,625,1,51.04
420,179,10,25,2024-03-19,9,632,327,4,81.69
421,340,3,14,2024-04-22,4,317,990,5,6.17
422,268,4,29,2024-11-08,6,843,998,3,20.67
423,490,4,24,2024-10-29,13,772,908,2,49.39
424,158,7,14,2024-03-29,13,877,944,1,139.39
425,427,1,26,2024-12-21,5,NULL,686,2,22.34
426,382,1,2,2024-01-13,1,217,891,5,44.84
427,303,1,12,2024-09-21,8,560,526,5,14.10
428,363,5,5,2024-04-21,2,858,372,2,84.78
429,404,8,13,2024-10-28,13,NULL,89,2,57.97
430,356,1,10,2024-05-15,13,414,466,1,37.08
431,364,8,12,2024-09-30,10,NULL,250,4,67.32
432,123,9,16,2024-02-03,13,679,226,1,176.49
433,421,3,28,2024-10-01,15,348,761,4,61.96
434,15,2,27,2024-11-09,10,755,207,4,81.64
435,223,8,13,2024-11-15,2,NULL,758,2,37.19
436,206,9,1,2024-07-03,8,NULL,204,2,112.22
437,466,7,17,2024-09-30,2,726,33,5,93.90
438,323,6,22,2024-12-07,9,NULL,181,5,55.21
439,483,1,9,2024-04-08,8,NULL,355,3,9.56
440,269,2,12,2024-04-24,7,461,878,1,25.30
441,407,1,24,2024-10-09,8,767,45,5,117.19
442,416,2,13,2024-07-19,8,NULL,417,4,99.26
443,463,1,16,2024-05-19,6,NULL,607,4,10.17
444,255,1,23,2024-07-31,10,768,194,4,166.77
445,102,10,8,2024-05-22,3,756,830,5,252.97
446,431,6,5,2024-02-07,2,973,757,5,29.76
447,60,7,25,2024-04-01,12,NULL,746,4,130.74
448,163,9,11,2024-03-16,15,678,83,2,37.61
449,325,9,15,2024-09-28,4,735,352,3,204.16
450,228,6,6,2024-06-04,9,616,731,5,186.08
451,102,9,12,2024-08-02,11,NULL,295,4,25.24
452,423,9,25,2024-07-04,1,NULL,656,5,209.53
453,53,2,14,2024-10-26,11,712,23,5,45.86
454,163,2,25,2024-08-26,12,NULL,263,3,18.85
455,63,3,4,2024-09-26,5,471,537,2,212.71
456,219,4,17,2024-09-10,12,NULL,665,5,111.30
457,109,9,11,2024-05-21,13,997,647,2,74.07
458,162,8,22,2024-04-23,7,136,794,3,79.84
459,35,10,14,2024-05-27,11,339,831,1,43.98
460,99,4,1,2024-02-03,7,NULL,985,2,97.86
461,417,3,28,2024-09-02,10,297,727,4,96.32
462,382,4,19,2024-11-15,9,238,638,3,140.42
463,17,6,15,2024-10-27,11,NULL,712,4,94.52
464,340,2,16,2024-04-23,15,NULL,448,4,145.01
465,223,10,20,2024-04-15,8,77,886,1,21.61
466,171,6,16,2024-01-04,8,458,466,5,23.96
467,8,10,27,2024-06-05,8,706,796,5,51.01
468,162,6,26,2024-07-10,2,NULL,198,2,201.92
469,254,6,14,2024-06-05,13,NULL,572,3,30.27
470,228,7,3,2024-05-07,8,673,67,2,118.48
471,254,8,8,2024-01-03,5,834,184,3,62.27
472,142,4,21,2024-07-09,9,952,428,2,42.83
473,164,5,6,2024-07-26,5,NULL,501,5,148.86
474,370,5,8,2024-09-22,14,102,413,4,96.42
475,302,7,18,2024-11-22,11,NULL,87,5,102.67
476,63,2,18,2024-05-23,3,863,292,5,115.99
477,246,1,1,2024-10-20,15,851,234,4,24.16
478,90,7,29,2024-08-14,5,673,873,2,31.41
479,113,6,9,2024-08-28,7,423,702,2,39.73
480,280,5,22,2024-03-16,13,366,100,3,80.48
481,248,6,3,2024-11-01,15,292,783,1,46.98
482,455,3,22,2024-09-30,9,223,362,1,141.91
483,166,8,25,2024-10-03,6,503,969,2,217.91
484,474,2,2,2024-08-24,2,63,250,1,131.61
485,179,10,23,2024-11-06,15,223,786,2,259.76
486,386,2,7,2024-09-16,14,818,525,1,95.01
487,300,4,27,2024-05-04,2,73,941,3,104.55
488,441,9,11,2024-06-02,1,NULL,777,4,165.27
489,406,7,27,2024-05-29,7,NULL,865,5,41.83
490,109,9,16,2024-01-15,11,194,243,4,54.07
491,94,1,18,2024-11-12,9,76,950,3,42.22
492,301,6,23,2024-02-28,9,499,140,2,69.80
493,52,4,18,2024-09-22,14,299,260,3,17.42
494,190,9,29,2024-05-07,13,568,161,1,22.75
495,410,8,14,2024-11-18,2,NULL,321,3,139.79
496,421,7,26,2024-04-16,13,637,844,2,5.58
497,314,8,25,2024-11-29,2,996,43,2,11.20
498,421,1,27,2024-02-28,3,173,865,5,106.47
499,218,10,12,2024-01-18,2,160,265,5,106.38
500,412,3,24,2024-02-05,3,496,657,4,21.02
501,97,1,19,2024-12-03,12,551,199,2,33.77
502,294,2,1,2024-08-07,15,258,194,1,49.62
503,392,8,10,2024-05-16,14,748,226,5,41.81
504,481,7,19,2024-12-29,2,437,531,2,45.59
